审查ID	step	自动分层	uid	问题	gold	模型答案	证据标签	答案标签	人工审查说明
S1-hit_valid-01	1	hit_valid	d8921c32-235e-419a-ab5c-55f464fa09e4	Which director has won more Canadian Screen Awards, Sidney Olcott or Denis Villeneuve?	Denis Villeneuve	Denis Villeneuve has won more Canadian Screen Awards than Sidney Olcott.	I	C	只给出 Villeneuve 获奖信息，缺少 Olcott 对照；答案语义符合 gold 但证据链不完整
S1-hit_valid-02	1	hit_valid	d10e63a2-1d6f-4431-a6fb-3432b1027c38	Sampson Hosking played for Port Adelaide Football Club in this league?	South Australian Football League	South Australian Football League (SAFL)	S	C	直接证据充分；SAFL 扩写导致 strict EM 失败
S1-hit_valid-03	1	hit_valid	8b4da0f1-3d72-4ed4-8117-7bc9846af722	Which chain was founded first, Blaze Pizza or Marion's Piazza?	Marion's Piazza	Marion's Piazza was founded first in 1965, while Blaze Pizza was founded in 2011.	S	C	两条链的成立年份可比较；完整句导致 strict EM 失败
S1-hit_valid-04	1	hit_valid	9daffcf1-e105-4378-aee6-7d5d94f23c0c	what is the meat in a reuben sandwich?	corned beef,	The meat in a Reuben sandwich is corned beef.	S	C	直接命中 corned beef；完整句导致 strict EM 失败
S1-hit_valid-05	1	hit_valid	b6721413-6a72-4eb1-9578-5f6ad298510f	when did paramount announce the remastered release of star trek for tv?	July 26, 2007	2009	S	W	证据明确 2007-07-26，模型回答 2009
S1-hit_valid-06	1	hit_valid	92fc2e9f-a4c6-4aed-b77d-c7a1cbb21c56	what season of grey's does izzy get cancer?	fifth season	Season 6	S	W	证据明确第五季，模型回答第六季
S1-hit_valid-07	1	hit_valid	045059b1-95fe-4ded-8624-cd5b85fbb2e6	who plays the elf lord in the hobbit?	Lee Grinner Pace	Lee Pace	S	C	Lee Pace 是可接受简称，与 gold 同一人
S1-hit_valid-08	1	hit_valid	91ab528d-bdf3-400f-b7af-68a558991439	How many episodes are there of the series which includes Achy Jakey Heart?	98	"Achy Jakey Heart is a two-part episode of the television series ""Hannah Montana""."	S	W	证据包含系列与 98 集信息，但模型只回答该集是两部分
S1-hit_valid-09	1	hit_valid	253f1882-1004-4f94-b132-05e8dcce549c	when did hawaii become a part of the united states?	August 12, 1898	Hawaii became a territory of the United States on August 12, 1898, and was admitted as a state on August 21, 1959.	S	C	正确包含 1898-08-12，附加州成立日期导致不完全精确
S1-hit_valid-10	1	hit_valid	23350d65-5843-4abe-adcc-9c4e9ff83a91	Which film came out first, Tjambuk Api or Goonda (Film)?	Tjambuk Api	Tjambuk Api came out first.	I	C	可见重点只确认 Tjambuk Api 年份，缺 Goonda 对照；答案符合 gold 但支持不足
