audit_id	case_id	step	step_layer	group_uid	rollout_index	data_source	source_file	source_line	question	gold_answers_reference_only	actor_answer	actor_em	actor_f1	search_count	duplicate_query_count	teacher_called	group_all_em_zero	historical_teacher_status	historical_teacher_answer	manual_label	manual_status	manual_answer	manual_reason	annotator	annotated_at	evidence_sha256	source_row_sha256
newdata512-0001	new5100-s01-24d9ca14-12c4-44bc-a6d2-b5444fe9dd56-r2	1	L1_steps_01_20	24d9ca14-12c4-44bc-a6d2-b5444fe9dd56	2	nq	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/1.jsonl	245	name of the wand store in harry potter?	"[""Ollivanders""]"	Ollivander's	1.0	1.0	1	0	false	false			I	insufficient_evidence		Evidence describes Ollivander as a wand maker and shopkeeper but never states the wand store's name.	Codex	2026-07-15T17:01:35+08:00	6a95584567e2bad0c5ae1c332ba41b5ec6fe73d043589ec4be6f895fc4f08c59	0dc23f4f6505c3418725b75198e79c3716d82db051b12f756a9915a3ff18141c
newdata512-0002	new5100-s01-2c95b706-fd6f-4922-bded-d53d645404cd-r3	1	L1_steps_01_20	2c95b706-fd6f-4922-bded-d53d645404cd	3	hotpotqa	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/1.jsonl	266	Who is older, Mick Jones or Brandon Flowers?	"[""Michael Geoffrey \""Mick\"" Jones""]"	Mick Jones is older than Brandon Flowers.	0.0	0.36363636363636365	1	0	true	true	insufficient_evidence	证据不足无法作答	I	insufficient_evidence		Evidence gives dates for several Mick Jones candidates but no birth date for Brandon Flowers, so the age comparison cannot be completed.	Codex	2026-07-15T17:01:35+08:00	5d0b375d7d595c696e69c4430cd8ab5ae3ba76db5e40974d39c85fa10215497e	f5863298261d8249330267a9b81c023b4f2a15bcbc2695ac862e05b29561ad0d
newdata512-0003	new5100-s01-3dc29987-8a89-414d-9429-0dd33118a94e-r1	1	L1_steps_01_20	3dc29987-8a89-414d-9429-0dd33118a94e	1	nq	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/1.jsonl	124	what are the fish that are on sharks?	"[""Remora""]"	Sharks are not fish; they are a separate group of marine animals.	0.0	0.0	1	0	true	true	supported_answer	remoras	S	supported_answer	remoras	The Remora passage explicitly states that remoras are commonly found attached to sharks.	Codex	2026-07-15T17:01:35+08:00	e0bd8b7a02db0eb6c30f92838c5f73f160c688e1c0976f7bfb4b9b4741ff2234	2a7706b9bf55a28cf9e4e51d80e82e4b4a86f86ec64b294641377c9eb9b0db6a
newdata512-0004	new5100-s01-539c6252-ba7e-4e7e-b8fe-ac08b599b66a-r0	1	L1_steps_01_20	539c6252-ba7e-4e7e-b8fe-ac08b599b66a	0	hotpotqa	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/1.jsonl	55	"""State of Grace"" and ""I knew You Were Trouble"" were both off of Taylor Swift's ""Red"" album, which song was written by Swift, Max Martin and Shellback?"	"[""I Knew You Were Trouble""]"		0.0	0.0	5	3	false	false			S	supported_answer	I Knew You Were Trouble	The song passage explicitly says I Knew You Were Trouble was written by Swift, Max Martin, and Shellback, while State of Grace had different credits.	Codex	2026-07-15T17:01:35+08:00	c6ce4cffd185772b98c8511fcb8e16dc6957b263a45c6593ee36cf0192aca55c	e0616a46a9e1aab96013df790ba32e90b95abe906756e823cf908dfa51a6c2d0
newdata512-0005	new5100-s01-60389c86-9387-4567-ad9f-0736269e67d6-r0	1	L1_steps_01_20	60389c86-9387-4567-ad9f-0736269e67d6	0	musique	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/1.jsonl	7	One of the Just One Look song's singers released a self titled album on which record label?	"[""Apple""]"	Atlantic Records	0.0	0.0	1	0	true	true	insufficient_evidence	证据不足无法作答	I	insufficient_evidence		Evidence identifies the Just One Look singers but does not mention either singer's self-titled album or its record label.	Codex	2026-07-15T17:01:35+08:00	3b5108dbff80b2e00622dc14b7f6767b8efe090d704b608c307eab85dae1bde4	9ca799d1864e7e2686a5bc8415356c9a45768b5d324af3a87b4b0464d718cf0b
newdata512-0006	new5100-s01-9f0e224d-d2b3-45cc-9503-eff219f76683-r1	1	L1_steps_01_20	9f0e224d-d2b3-45cc-9503-eff219f76683	1	nq	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/1.jsonl	187	when did the first ice age movie come out?	"[""2002""]"		0.0	0.0	5	4	false	false			S	supported_answer	March 15, 2002	The Ice Age film passage explicitly states that the first film was released on March 15, 2002.	Codex	2026-07-15T17:01:35+08:00	e5c4ab380b611f195f098c46493857ef3c1490bd0e0413346b5a4600f267a1be	58364a8de4d5180e5b2d0f7e44c4630b9cbd35addc66571df21928f57339b807
newdata512-0007	new5100-s01-a5e9cb60-cdc1-4a70-8366-9d6f53e21f89-r3	1	L1_steps_01_20	a5e9cb60-cdc1-4a70-8366-9d6f53e21f89	3	2wikimultihopqa	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/1.jsonl	210	What is the date of death of Henry Dixon Kimber's father?	"[""18 December 1923""]"	10 April 2008	0.0	0.0	2	0	true	true	supported_answer	10 April 2008	S	supported_answer	December 1923	The Henry Kimber passage identifies the relevant father and states that he died in December 1923; the day is not visible but the supported date precision is unique.	Codex	2026-07-15T17:01:35+08:00	3879d8e4b8b4b393bb1f9d3f31f3bd0e0d15eca5006fc1e00d4a6de13911102f	4152777ce31359b0acacc610ee34d83d203f89a59626c91f7bbee79e298dc709
newdata512-0008	new5100-s01-d9572bce-cb0a-4131-9831-8f14218c4fa4-r3	1	L1_steps_01_20	d9572bce-cb0a-4131-9831-8f14218c4fa4	3	hotpotqa	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/1.jsonl	323	The artist who was a co-creator of the second Black Spectre is primarily associated with which publisher?	"[""Marvel Comics""]"		0.0	0.0	5	3	true	true	insufficient_evidence	证据不足无法作答	I	insufficient_evidence		Evidence identifies Bill Sienkiewicz as the penciller co-creator but never states which publisher he is primarily associated with.	Codex	2026-07-15T17:01:35+08:00	7cba1c7fa1e9d5d76d0061cd67393d2b390639f2bb5c0301787bbd3a9a173483	e29f14bacb43f5e32a9b43e47d465672145055457a30bd1863d829799ef2fd13
newdata512-0009	new5100-s01-f55d6137-d0a4-4953-9228-543da8631333-r0	1	L1_steps_01_20	f55d6137-d0a4-4953-9228-543da8631333	0	hotpotqa	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/1.jsonl	110	Which South Korean professional footballer was awarded 2015 Best Footballer in Asia?	"[""Son Heung-min""]"	Son Heung-min	1.0	1.0	1	0	false	false			S	supported_answer	Son Heung-min	The Best Footballer in Asia 2015 passage explicitly says the award was given to Son Heung-min.	Codex	2026-07-15T17:01:35+08:00	96bb30b268062763099eba9ad1f6dd04506429c4632e9bb3c02627904f8c5059	8de82bd45054a23921b0ba155ec3ef34ac9812a2a3f5d56939a962802a671ad3
newdata512-0010	new5100-s01-ffc234da-dbba-4226-9f93-b01aec177c16-r2	1	L1_steps_01_20	ffc234da-dbba-4226-9f93-b01aec177c16	2	2wikimultihopqa	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/1.jsonl	191	Where was the place of death of Flavius Dalmatius's father?	"[""Eboracum""]"		0.0	0.0	5	2	true	true	insufficient_evidence	证据不足无法作答	I	insufficient_evidence		Evidence describes Flavius Dalmatius and his father but does not state the father's place of death.	Codex	2026-07-15T17:01:35+08:00	daf6dcbdb02e33aa0bd918bd04f0c07e5e1109011fdeafe0f8366f2c6d878ef1	165f88961ce8937123598e45bc465582cd8694497a84d17738411dd9954d1379
