audit_id	teacher_bucket	teacher_label	manual_status	manual_label	agreement	error_type	manual_reason	source_file	source_line	uid	question	teacher_answer	teacher_reason	gold_targets_reference_only
S-001	supported_answer	S	supported_answer	S	1	aligned_supported	可见证据足以支持同一问题谓词下的唯一短答案。	log/agenticIterRag/260710-021433-474200-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_glm47_formal_500_offlinebatch_260710/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/3.jsonl	114	bbf77aae-d0ce-4a9b-a8d0-d75c544d7b49	who created who wants to be a millionaire?	David Briggs, Mike Whitehill and Steven Knight	The provided evidence states that Who Wants to Be a Millionaire was created by David Briggs, Mike Whitehill, and Steven Knight.	"[""Mike Whitehill"", ""David Briggs"", ""Steven Knight""]"
S-002	supported_answer	S	supported_answer	S	1	aligned_supported	可见证据足以支持同一问题谓词下的唯一短答案。	log/agenticIterRag/260710-021433-474200-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_glm47_formal_500_offlinebatch_260710/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/5.jsonl	5	18653845-d97b-46a1-bb61-d129c155fe3c	who did the peoples party nominate for president in 1892?	James B. Weaver and James G. Field	The evidence explicitly states that in the 1892 presidential election, the People's Party ticket was composed of James B. Weaver and James G. Field.	"[""James B. Weaver""]"
S-003	supported_answer	S	supported_answer	S	1	aligned_supported	可见证据足以支持同一问题谓词下的唯一短答案。	log/agenticIterRag/260710-021433-474200-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_glm47_formal_500_offlinebatch_260710/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/4.jsonl	30	c9bdbb0e-027f-4715-9437-6133e7a226eb	when was the dollar coin introduced in australia?	14 May 1984	Document [4] explicitly states that the Australian one dollar coin was first issued on 14 May 1984.	"[""14 May 1984""]"
S-004	supported_answer	S	supported_answer	S	1	aligned_supported	可见证据足以支持同一问题谓词下的唯一短答案。	log/agenticIterRag/260710-021433-474200-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_glm47_formal_500_offlinebatch_260710/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/6.jsonl	102	c99c8a47-b41f-4843-ba96-a5582a14f572	Who is Rishi Kapoor's paternal grandfather?	Prithviraj Kapoor	Document [1] explicitly states that Rishi Kapoor is the grandson of actor Prithviraj Kapoor. Document [4] and [5] also confirm that Prithviraj Kapoor is the grandfather of Randhir Kapoor, who is Rishi's brother, establishing the lineage.	"[""Prithviraj Kapoor""]"
S-005	supported_answer	S	supported_answer	S	1	aligned_supported	可见证据足以支持同一问题谓词下的唯一短答案。	log/agenticIterRag/260710-021433-474200-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_glm47_formal_500_offlinebatch_260710/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/3.jsonl	104	4406d199-9bc8-4ca7-b0a4-e725ed315c60	what is connected to the intestine by bile ducts?	the intestine	"The evidence states that the common bile duct opens into the intestine. Specifically, document [1] states the common bile duct ""opens into the intestine"" and document [5] states the common bile duct ""enters duodenum""."	"[""gallbladder""]"
S-006	supported_answer	S	supported_answer	S	1	aligned_supported	可见证据足以支持同一问题谓词下的唯一短答案。	log/agenticIterRag/260710-021433-474200-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_glm47_formal_500_offlinebatch_260710/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/7.jsonl	144	a7d393ec-2bd1-4edc-a4d8-8ff919a87a90	when did the british royal family lose political power?	1688	The evidence states that the last monarch involuntarily removed from power was James VII and II, who fled into exile in 1688 during the Glorious Revolution. It also notes that the Bill of Rights 1689 affirmed parliamentary supremacy.	"[""In the 1990s""]"
S-007	supported_answer	S	supported_answer	S	1	aligned_supported	可见证据足以支持同一问题谓词下的唯一短答案。	log/agenticIterRag/260710-021433-474200-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_glm47_formal_500_offlinebatch_260710/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/2.jsonl	173	0fb0c91f-7bdd-4c5e-b49c-6ba2a01b123b	What is the place of birth of the composer of film Padichakallan?	Kozhikode	Document [1] identifies Reghu Kumar (also known as Raghukumar) as the composer of the film Padichakallan and states he was born into the prominent Pootheri family at Kozhikode in Kerala on 13 June 1953.	"[""Paravoor""]"
S-008	supported_answer	S	supported_answer	S	1	aligned_supported	可见证据足以支持同一问题谓词下的唯一短答案。	log/agenticIterRag/260710-021433-474200-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_glm47_formal_500_offlinebatch_260710/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/5.jsonl	1	ad8561a9-b117-4042-a4e0-57f90ee33786	what was the capital of georgia before atlanta?	Milledgeville	Document 1 states the Georgia General Assembly moved from Milledgeville to Atlanta in 1868, and Document 2 lists the capitals in order as Savannah, Augusta, Louisville, Milledgeville, and Atlanta.	"[""Milledgeville""]"
S-009	supported_answer	S	insufficient_evidence	I	0	entity_mismatch	问题是 Tyler Spencer，证据和 teacher 理由却改成了 Tim Spencer，无法判断原问题中的两人是否都是美国歌手。	log/agenticIterRag/260710-021433-474200-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_glm47_formal_500_offlinebatch_260710/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/3.jsonl	16	b993aa4f-eb0c-493f-a3f9-52e261591068	Are Tim Armstrong and Tyler Spencer both American singers?	Yes	Document [2] states Tim Armstrong is an American musician. Document [3] states Tim Spencer (singer) is an American singer. Both individuals are identified as American singers in the provided text.	"[""yes""]"
S-010	supported_answer	S	supported_answer	S	1	aligned_supported	可见证据足以支持同一问题谓词下的唯一短答案。	log/agenticIterRag/260710-021433-474200-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_glm47_formal_500_offlinebatch_260710/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/7.jsonl	171	0b7980cc-44e5-4ec5-9e84-d148192415d2	What is the date of birth of Françoise Riopelle's husband?	7 October 1923	The search results identify Jean-Paul Riopelle as Françoise Riopelle's husband. Evidence [4] explicitly states Jean-Paul Riopelle was born on 7 October 1923.	"[""7 October 1923""]"
